Design Factory,Angular,Bootstrap CSS,Ng-Bootstrap,Ng-select,Ag-grid,ngx-slider,AgnosUI
9.x.x,11.0.0,4.5.0,9.1.0,5.0.14,,2.0.3,
10.x.x,12.0.0,4.5.3,10.0.0,7.2.0,,2.0.3,
11.x.x,13.2.0,4.5.3,11.0.0,8.1.1,,2.0.3,
12.x.x,13.2.0,5.1.3,12.1.2,8.1.1,27.3.0,2.0.3,
13.x.x,14.1.0,5.2.0,13.1.0,9.0.2,27.3.0,2.0.4,
14.x.x,15.1.0,5.2.0,14.0.1,10.0.3,27.3.0,2.0.4,
15.x.x,16.0.0,5.2.0,15.0.0,11.0.0,29.3.5,,
16.x.x,16.x.x,5.2.0,15.1.0,11.2.0,30.2.x,,
17.0.x,17.x.x,5.3.2,16.0.x,12.0.x,31.0.x,,0.0.1-alpha.10
17.1.x,17.x.x,5.3.3,16.0.x,12.0.x,31.1.x,,0.2.0
18.0.x,18.x.x,5.3.3,17.0.x,13.2.x,31.3.x,,0.4.x
18.1.x,18.x.x,5.3.3,17.0.x,13.2.x,32.0.x,,0.4.x
19.0.x,19.x.x,5.3.3,18.0.x,14.0.x,32.0.x,,0.7.x
19.1.x,19.x.x,5.3.3,18.0.x,14.1.x,32.0.x,,0.8.x
20.0.x,20.x,5.3.7,19.0.x,15.x || 20.x,32.x,,0.9.x
